date,value
1979-06-01,9
1979-07-01,-3
1979-08-01,8
1979-09-01,20
1979-10-01,19
1979-11-01,24
1979-12-01,43
1980-01-01,24
1980-02-01,36
1980-03-01,25
1980-04-01,29
1980-05-01,30
1980-06-01,14
1980-07-01,23
1980-08-01,22
1980-09-01,18
1980-10-01,14
1980-11-01,24
1980-12-01,15
1981-01-01,51
1981-02-01,37
1981-03-01,45
1981-04-01,27
1981-05-01,20
1981-06-01,27
1981-07-01,29
1981-08-01,29
1981-09-01,13
1981-10-01,9
1981-11-01,17
1981-12-01,36
1982-01-01,4
1982-02-01,12
1982-03-01,-7
1982-04-01,5
1982-05-01,10
1982-06-01,2
1982-07-01,11
1982-08-01,5
1982-09-01,9
1982-10-01,8
1982-11-01,10
1982-12-01,38
1983-01-01,49
1983-02-01,35
1983-03-01,38
1983-04-01,27
1983-05-01,34
1983-06-01,17
1983-07-01,14
1983-08-01,27
1983-09-01,35
1983-10-01,12
1983-11-01,28
1983-12-01,13
1984-01-01,26
1984-02-01,12
1984-03-01,24
1984-04-01,6
1984-05-01,31
1984-06-01,3
1984-07-01,13
1984-08-01,12
1984-09-01,14
1984-10-01,11
1984-11-01,1
1984-12-01,-8
1985-01-01,19
1985-02-01,-8
1985-03-01,13
1985-04-01,6
1985-05-01,13
1985-06-01,15
1985-07-01,-3
1985-08-01,10
1985-09-01,10
1985-10-01,8
1985-11-01,6
1985-12-01,11
1986-01-01,25
1986-02-01,33
1986-03-01,24
1986-04-01,22
1986-05-01,23
1986-06-01,11
1986-07-01,9
1986-08-01,8
1986-09-01,-2
1986-10-01,9
1986-11-01,6
1986-12-01,11
1987-01-01,31
1987-02-01,41
1987-03-01,12
1987-04-01,21
1987-05-01,22
1987-06-01,32
1987-07-01,42
1987-08-01,22
1987-09-01,34
1987-10-01,26
1987-11-01,20
1987-12-01,43
1988-01-01,52
1988-02-01,36
1988-03-01,44
1988-04-01,40
1988-05-01,40
1988-06-01,38
1988-07-01,30
1988-08-01,40
1988-09-01,37
1988-10-01,34
1988-11-01,7
1988-12-01,28
1989-01-01,11
1989-02-01,31
1989-03-01,32
1989-04-01,27
1989-05-01,12
1989-06-01,12
1989-07-01,30
1989-08-01,31
1989-09-01,32
1989-10-01,28
1989-11-01,14
1989-12-01,33
1990-01-01,35
1990-02-01,36
1990-03-01,72
1990-04-01,49
1990-05-01,41
1990-06-01,34
1990-07-01,39
1990-08-01,27
1990-09-01,26
1990-10-01,37
1990-11-01,41
1990-12-01,38
1991-01-01,38
1991-02-01,46
1991-03-01,32
1991-04-01,46
1991-05-01,34
1991-06-01,50
1991-07-01,47
1991-08-01,36
1991-09-01,43
1991-10-01,26
1991-11-01,28
1991-12-01,30
1992-01-01,41
1992-02-01,39
1992-03-01,43
1992-04-01,20
1992-05-01,28
1992-06-01,21
1992-07-01,10
1992-08-01,6
1992-09-01,-3
1992-10-01,6
1992-11-01,1
1992-12-01,19
1993-01-01,34
1993-02-01,37
1993-03-01,34
1993-04-01,23
1993-05-01,23
1993-06-01,20
1993-07-01,25
1993-08-01,11
1993-09-01,6
1993-10-01,20
1993-11-01,5
1993-12-01,17
1994-01-01,27
1994-02-01,-1
1994-03-01,24
1994-04-01,37
1994-05-01,25
1994-06-01,37
1994-07-01,27
1994-08-01,19
1994-09-01,30
1994-10-01,40
1994-11-01,43
1994-12-01,35
1995-01-01,48
1995-02-01,76
1995-03-01,43
1995-04-01,45
1995-05-01,27
1995-06-01,43
1995-07-01,47
1995-08-01,45
1995-09-01,30
1995-10-01,46
1995-11-01,42
1995-12-01,29
1996-01-01,24
1996-02-01,46
1996-03-01,31
1996-04-01,34
1996-05-01,27
1996-06-01,25
1996-07-01,35
1996-08-01,48
1996-09-01,24
1996-10-01,19
1996-11-01,40
1996-12-01,39
1997-01-01,31
1997-02-01,36
1997-03-01,52
1997-04-01,35
1997-05-01,36
1997-06-01,52
1997-07-01,34
1997-08-01,39
1997-09-01,52
1997-10-01,61
1997-11-01,63
1997-12-01,58
1998-01-01,60
1998-02-01,87
1998-03-01,62
1998-04-01,63
1998-05-01,68
1998-06-01,75
1998-07-01,67
1998-08-01,67
1998-09-01,44
1998-10-01,43
1998-11-01,48
1998-12-01,55
1999-01-01,48
1999-02-01,67
1999-03-01,32
1999-04-01,33
1999-05-01,31
1999-06-01,38
1999-07-01,41
1999-08-01,36
1999-09-01,41
1999-10-01,41
1999-11-01,39
1999-12-01,46
